,SMB_S,SMB_M,SMB_B,HML_H,HML_M,HML_L,priceRatio
0,0.0,0.0,1.0,0.0,0.0,1.0,0.06479949613836022
1,0.0,0.0,1.0,0.0,1.0,0.0,0.9620114374570824
2,0.0,1.0,0.0,0.0,1.0,0.0,-0.007514733677084663
3,0.0,1.0,0.0,0.0,1.0,0.0,-0.4088052878784716
4,0.0,1.0,0.0,0.0,1.0,0.0,-0.4893377132186052
5,0.0,0.0,1.0,0.0,1.0,0.0,0.03554929401056395
6,0.0,1.0,0.0,1.0,0.0,0.0,-0.25408190134224484
7,1.0,0.0,0.0,0.0,0.0,1.0,-0.4454766513822099
8,0.0,1.0,0.0,0.0,0.0,1.0,0.27407132004357426
9,0.0,1.0,0.0,0.0,1.0,0.0,-0.6804806015267544
10,0.0,0.0,1.0,0.0,1.0,0.0,-0.3663313233386571
11,1.0,0.0,0.0,0.0,1.0,0.0,-0.3112369248243324
12,0.0,1.0,0.0,0.0,1.0,0.0,-0.04479113303259297
13,1.0,0.0,0.0,0.0,1.0,0.0,0.059516498165041565
14,0.0,0.0,1.0,0.0,1.0,0.0,0.11436022808211475
15,1.0,0.0,0.0,1.0,0.0,0.0,-0.39599925807016667
16,1.0,0.0,0.0,0.0,1.0,0.0,-0.6526416461461695
17,0.0,0.0,1.0,0.0,0.0,1.0,0.2703736374339261
18,0.0,1.0,0.0,0.0,1.0,0.0,-0.4952091333003116
19,0.0,1.0,0.0,0.0,1.0,0.0,-0.4230994171868805
20,1.0,0.0,0.0,0.0,1.0,0.0,-0.415896785305954
21,0.0,1.0,0.0,1.0,0.0,0.0,-0.06446331418135309
22,0.0,1.0,0.0,0.0,0.0,1.0,0.5939942528537818
23,0.0,1.0,0.0,0.0,1.0,0.0,0.4946669466050944
24,0.0,1.0,0.0,0.0,1.0,0.0,0.029887944095396524
25,0.0,1.0,0.0,0.0,0.0,1.0,-0.5242330877867432
26,1.0,0.0,0.0,1.0,0.0,0.0,0.8926919012866834
27,1.0,0.0,0.0,0.0,0.0,1.0,-0.013697482014757513
28,0.0,1.0,0.0,1.0,0.0,0.0,0.3701652361875043
29,0.0,1.0,0.0,0.0,0.0,1.0,-0.5866748256365574
30,1.0,0.0,0.0,0.0,1.0,0.0,0.06418912180066583
31,0.0,0.0,1.0,0.0,1.0,0.0,0.8091092805524942
32,0.0,1.0,0.0,0.0,1.0,0.0,0.13175569747203086
33,0.0,1.0,0.0,0.0,0.0,1.0,-0.316388954008207
34,0.0,0.0,1.0,1.0,0.0,0.0,-0.512204644024499
35,1.0,0.0,0.0,1.0,0.0,0.0,-0.09330613862970538
36,0.0,1.0,0.0,0.0,1.0,0.0,-0.1331370529772875
37,0.0,1.0,0.0,0.0,1.0,0.0,-0.2833678041856359
38,0.0,0.0,1.0,0.0,0.0,1.0,-0.3679820229371036
39,0.0,0.0,1.0,0.0,0.0,1.0,0.6441243132533387
40,1.0,0.0,0.0,0.0,1.0,0.0,-0.12794265706596364
41,1.0,0.0,0.0,1.0,0.0,0.0,-0.379845961115076
42,1.0,0.0,0.0,0.0,0.0,1.0,-0.4002665056435684
43,0.0,0.0,1.0,0.0,0.0,1.0,-0.1038956567203584
44,0.0,0.0,1.0,1.0,0.0,0.0,-0.4152837425583281
45,0.0,0.0,1.0,1.0,0.0,0.0,0.21132803574329892
46,0.0,1.0,0.0,1.0,0.0,0.0,0.055972179582703285
47,1.0,0.0,0.0,1.0,0.0,0.0,-0.14676619420879966
48,0.0,1.0,0.0,0.0,1.0,0.0,0.9484887172851286
49,0.0,1.0,0.0,0.0,0.0,1.0,-0.3018890518943201
50,1.0,0.0,0.0,0.0,1.0,0.0,0.27967055737503665
51,1.0,0.0,0.0,0.0,1.0,0.0,-0.31528499102861984
52,1.0,0.0,0.0,1.0,0.0,0.0,0.07056204779361175
53,1.0,0.0,0.0,0.0,1.0,0.0,-0.3271240779411229
54,0.0,0.0,1.0,1.0,0.0,0.0,0.5446851788700395
55,0.0,1.0,0.0,1.0,0.0,0.0,-0.10464619433912037
56,0.0,1.0,0.0,0.0,1.0,0.0,0.4715334362512546
57,0.0,1.0,0.0,1.0,0.0,0.0,0.1970165269176856
58,0.0,1.0,0.0,0.0,1.0,0.0,-0.5048191942872465
59,0.0,1.0,0.0,0.0,0.0,1.0,-0.2220124512803924
60,0.0,0.0,1.0,1.0,0.0,0.0,-0.2239238081838909
61,0.0,1.0,0.0,0.0,1.0,0.0,-0.3768652972037754
62,0.0,1.0,0.0,0.0,0.0,1.0,-0.21424060368395725
63,0.0,1.0,0.0,1.0,0.0,0.0,-0.2907975108931278
64,1.0,0.0,0.0,1.0,0.0,0.0,-0.07288969096840914
65,0.0,0.0,1.0,0.0,0.0,1.0,1.5328483364941812
66,0.0,1.0,0.0,0.0,0.0,1.0,-0.6475793242661205
67,0.0,1.0,0.0,1.0,0.0,0.0,0.15087823919898913
68,0.0,1.0,0.0,0.0,0.0,1.0,-0.13757346979654514
69,0.0,1.0,0.0,1.0,0.0,0.0,-0.19598607589542286
70,0.0,0.0,1.0,0.0,1.0,0.0,-0.2613159358778785
71,0.0,1.0,0.0,0.0,1.0,0.0,-0.30463580199959883
72,0.0,0.0,1.0,0.0,1.0,0.0,-0.05288392163108791
73,0.0,0.0,1.0,0.0,0.0,1.0,-0.02813387914375753
74,0.0,0.0,1.0,0.0,0.0,1.0,0.1591860421852993
75,1.0,0.0,0.0,1.0,0.0,0.0,-0.2684438285023383
76,0.0,0.0,1.0,0.0,1.0,0.0,0.2291612604277489
77,0.0,1.0,0.0,0.0,0.0,1.0,-0.1122387768233326
78,0.0,0.0,1.0,1.0,0.0,0.0,0.2287929212433788
79,1.0,0.0,0.0,1.0,0.0,0.0,0.25977041355821484
80,1.0,0.0,0.0,1.0,0.0,0.0,-0.006859450036002857
81,0.0,1.0,0.0,0.0,1.0,0.0,-0.4824238308526347
82,1.0,0.0,0.0,0.0,1.0,0.0,-0.35153684733389545
83,0.0,0.0,1.0,1.0,0.0,0.0,-0.19279287613338747
84,0.0,1.0,0.0,0.0,1.0,0.0,1.0313389414881275
85,0.0,1.0,0.0,1.0,0.0,0.0,2.3165886549640886
86,0.0,1.0,0.0,0.0,0.0,1.0,0.5040463914359798
87,1.0,0.0,0.0,0.0,1.0,0.0,-0.2372907117398043
88,1.0,0.0,0.0,0.0,1.0,0.0,0.07356997502859364
89,1.0,0.0,0.0,0.0,0.0,1.0,-0.4884825681983742
90,0.0,0.0,1.0,0.0,1.0,0.0,1.646865478451488
91,1.0,0.0,0.0,0.0,0.0,1.0,-0.10680558515150483
92,1.0,0.0,0.0,0.0,0.0,1.0,-0.006009318772783434
93,0.0,0.0,1.0,0.0,0.0,1.0,0.34125272549363195
94,1.0,0.0,0.0,0.0,0.0,1.0,-0.3726860069101861
95,1.0,0.0,0.0,0.0,1.0,0.0,-0.41736551266830135
96,1.0,0.0,0.0,0.0,0.0,1.0,-0.4671117689869406
97,0.0,0.0,1.0,0.0,1.0,0.0,0.2260359909605967
98,0.0,0.0,1.0,1.0,0.0,0.0,-0.18518879703388413
99,0.0,1.0,0.0,1.0,0.0,0.0,-0.07523110049929849
100,0.0,0.0,1.0,1.0,0.0,0.0,0.3714249115665702
101,0.0,1.0,0.0,1.0,0.0,0.0,-0.38242247257298656
102,0.0,1.0,0.0,0.0,1.0,0.0,-0.2352895103717193
103,0.0,0.0,1.0,0.0,1.0,0.0,-0.019565490809728917
104,0.0,0.0,1.0,0.0,0.0,1.0,-0.43189873357613984
105,0.0,0.0,1.0,1.0,0.0,0.0,-0.25771277030824913
106,0.0,0.0,1.0,1.0,0.0,0.0,-0.34701055491040034
107,0.0,1.0,0.0,1.0,0.0,0.0,-0.4280019045308284
108,0.0,0.0,1.0,0.0,1.0,0.0,-0.05127327284651462
109,0.0,0.0,1.0,0.0,0.0,1.0,-0.17859451500128087
110,0.0,0.0,1.0,1.0,0.0,0.0,0.05258961039561827
111,0.0,1.0,0.0,1.0,0.0,0.0,-0.3242694693156619
112,0.0,1.0,0.0,1.0,0.0,0.0,-0.3249767343840483
113,0.0,1.0,0.0,1.0,0.0,0.0,0.1370262528500643
114,0.0,0.0,1.0,0.0,1.0,0.0,0.5816584099021243
115,0.0,0.0,1.0,1.0,0.0,0.0,-0.4126570189726965
116,0.0,0.0,1.0,1.0,0.0,0.0,-0.053384379831754585
117,0.0,0.0,1.0,1.0,0.0,0.0,0.4222967571702019
118,0.0,0.0,1.0,0.0,0.0,1.0,0.06880769603223191
119,0.0,0.0,1.0,0.0,0.0,1.0,0.2773426454143939
120,0.0,1.0,0.0,1.0,0.0,0.0,-0.014164030751393941
121,1.0,0.0,0.0,1.0,0.0,0.0,-0.2635324622958606
122,0.0,0.0,1.0,0.0,1.0,0.0,0.6068953507571221
123,0.0,0.0,1.0,0.0,1.0,0.0,-0.22362550065323594
124,0.0,0.0,1.0,0.0,0.0,1.0,0.5930715673160469
125,0.0,0.0,1.0,1.0,0.0,0.0,0.3898418154553192
126,0.0,1.0,0.0,0.0,1.0,0.0,0.6689057743805582
127,1.0,0.0,0.0,1.0,0.0,0.0,-0.2566501974909191
128,1.0,0.0,0.0,1.0,0.0,0.0,0.8114534058144425
129,1.0,0.0,0.0,0.0,0.0,1.0,0.20681795072698209
130,0.0,1.0,0.0,1.0,0.0,0.0,-0.2222104073240161
131,1.0,0.0,0.0,0.0,1.0,0.0,-0.30948851509036324
132,1.0,0.0,0.0,0.0,1.0,0.0,-0.0717615115489969
133,0.0,1.0,0.0,0.0,1.0,0.0,-0.3847300221750936
134,1.0,0.0,0.0,0.0,1.0,0.0,0.44772124524762813
135,1.0,0.0,0.0,0.0,0.0,1.0,-0.1587194146531241
136,0.0,0.0,1.0,1.0,0.0,0.0,-0.40717950097946176
137,0.0,1.0,0.0,1.0,0.0,0.0,0.012378925904522609
138,0.0,1.0,0.0,1.0,0.0,0.0,-0.13309327879395627
139,0.0,0.0,1.0,1.0,0.0,0.0,-0.11756314942509105
140,0.0,1.0,0.0,0.0,0.0,1.0,-0.2886968432094028
141,1.0,0.0,0.0,0.0,0.0,1.0,0.6220792800484674
142,1.0,0.0,0.0,1.0,0.0,0.0,0.5847495091772021
143,1.0,0.0,0.0,0.0,0.0,1.0,-0.3277595502255252
144,1.0,0.0,0.0,0.0,1.0,0.0,0.4329412479342016
145,0.0,1.0,0.0,0.0,1.0,0.0,0.5274583208859513
146,0.0,1.0,0.0,0.0,0.0,1.0,-0.4064369629901268
147,0.0,1.0,0.0,0.0,0.0,1.0,-0.3697178468553083
148,0.0,1.0,0.0,0.0,0.0,1.0,-0.3546558224417236
149,0.0,0.0,1.0,0.0,0.0,1.0,0.20120532711528985
150,0.0,1.0,0.0,0.0,0.0,1.0,-0.5703377292456413
151,0.0,1.0,0.0,1.0,0.0,0.0,0.2503312124949102
152,1.0,0.0,0.0,1.0,0.0,0.0,-0.15113128663930553
153,0.0,1.0,0.0,0.0,0.0,1.0,-0.42028372215924825
154,0.0,1.0,0.0,1.0,0.0,0.0,-0.08115353411157811
