,code,market_cap,SMB,BM,HML,price,nextPrice,up,pubDate,date
0,600198.XSHG,104.17,M,0.038431122112,L,21.705,9.975,NO,2007-04-27,2007-05-01
1,600118.XSHG,70.97,S,0.053839478291,L,6.7575,6.0135000000000005,NO,2007-04-26,2007-05-01
2,600150.XSHG,242.23,B,0.056923423536,L,39.840999999999994,56.528999999999996,YES,2007-04-27,2007-05-01
3,002024.XSHE,559.3,B,0.061231956137,L,7.4475,11.61,YES,2007-04-28,2007-05-01
4,600143.XSHG,196.77,M,0.06370939171500001,L,8.336,7.194,NO,2007-04-24,2007-05-01
5,600161.XSHG,104.91,M,0.065107476519,L,14.1765,11.304,NO,2007-04-25,2007-05-01
6,600519.XSHG,900.57,B,0.065384998213,L,60.408,118.9495,YES,2007-04-28,2007-05-01
7,600309.XSHG,492.23,B,0.066151089193,L,13.668,15.2165,NO,2007-04-27,2007-05-01
8,600739.XSHG,350.81,B,0.068103524091,L,18.270500000000002,22.628,YES,2007-04-27,2007-05-01
9,600132.XSHG,133.16,M,0.06842210686000001,L,22.8235,19.353,NO,2007-04-30,2007-05-01
10,600643.XSHG,97.48,S,0.069069036604,L,7.648,7.834,NO,2007-04-28,2007-05-01
11,000568.XSHE,340.8,B,0.070018706733,L,14.8825,27.708,YES,2007-04-18,2007-05-01
12,000562.XSHE,541.38,B,0.073458754371,L,13.261500000000002,11.268,NO,2007-04-26,2007-05-01
13,000538.XSHE,166.03,M,0.073688258327,L,15.030999999999999,13.547,NO,2007-04-18,2007-05-01
14,600497.XSHG,273.0,B,0.074731534066,L,8.0615,8.5055,NO,2007-04-27,2007-05-01
15,000869.XSHE,292.53,B,0.078543089652,L,35.691,49.141000000000005,YES,2007-04-23,2007-05-01
16,002008.XSHE,74.88,S,0.079828917458,L,6.7895,8.2265,NO,2007-04-27,2007-05-01
17,600489.XSHG,128.72,M,0.087386191838,L,4.5375,8.028,YES,2007-04-28,2007-05-01
18,600030.XSHG,1760.87,B,0.08908284207,L,13.563500000000001,17.448999999999998,YES,2007-04-27,2007-05-01
19,600432.XSHG,130.07,M,0.090478074708,L,15.042,25.929499999999997,YES,2007-04-26,2007-05-01
20,000652.XSHE,211.01,M,0.093589488432,L,12.276,11.242,NO,2007-04-30,2007-05-01
21,000858.XSHE,966.89,B,0.093616118554,L,18.5885,22.1115,NO,2007-04-20,2007-05-01
22,600299.XSHG,136.8,M,0.09371388796800001,L,24.12,27.643500000000003,NO,2007-04-26,2007-05-01
23,000617.XSHE,64.24,S,0.09451239168600001,L,18.789,15.358,NO,2007-04-21,2007-05-01
24,000623.XSHE,286.68,B,0.094703910889,L,17.360500000000002,19.335500000000003,NO,2007-04-27,2007-05-01
25,600809.XSHG,142.99,M,0.096238271986,L,14.111,8.628499999999999,NO,2007-04-21,2007-05-01
26,600547.XSHG,84.38,S,0.102016845226,L,5.7425,15.4115,YES,2007-04-28,2007-05-01
27,600881.XSHG,276.88,B,0.105136964341,L,10.124,8.095,NO,2007-04-25,2007-05-01
28,600832.XSHG,394.74,B,0.10548739866800001,L,10.056000000000001,7.566,NO,2007-04-27,2007-05-01
